scenario_id,run_number,valid,platform,environment_id,fixture_id,style_profile,leaf_count,feature_mask,duration_ms,templar_total_measured_ms,refresh_all_count,refresh_file_count,refresh_leaf_count,paginate_count,reading_reconcile_count,mutation_callback_count,resize_callback_count,templar_raf_count,frame_gap_p95_ms,frame_gap_max_ms,long_task_count,long_task_total_ms,heap_start_bytes,heap_end_bytes,thermal_start,thermal_end,battery_start_percent,battery_end_percent,notes
A-existing-F002-pageless-free-run-1,1,true,cli,synthetic-happy-dom,F002,S2,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",50.75354200000015,19.86562499999991,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-free__run-1.templar-perf.json
A-existing-F002-pageless-free-run-2,2,true,cli,synthetic-happy-dom,F002,S2,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",48.75687499999992,20.230624999999918,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-free__run-2.templar-perf.json
A-existing-F002-pageless-free-run-3,3,true,cli,synthetic-happy-dom,F002,S2,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",48.763417000000004,18.864041000000043,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-free__run-3.templar-perf.json
A-existing-F002-pageless-grid-run-1,1,true,cli,synthetic-happy-dom,F002,S3,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",108.0585410000001,77.35183299999994,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-grid__run-1.templar-perf.json
A-existing-F002-pageless-grid-run-2,2,true,cli,synthetic-happy-dom,F002,S3,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",106.17137500000001,75.35950000000003,1,,1,,1,,,,2.099999999999998,3,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-grid__run-2.templar-perf.json
A-existing-F002-pageless-grid-run-3,3,true,cli,synthetic-happy-dom,F002,S3,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",104.70020799999998,74.51712500000008,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-grid__run-3.templar-perf.json
C-reading-1000-run-1,1,true,cli,synthetic-happy-dom,F005-1000,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",1649.1595000000002,88.1935840000001,1,,1,1,1001,,,,603,603,0,0,,,,,,,raw/C-reading-scaling/C-reading-1000__run-1.templar-perf.json
C-reading-1000-run-2,2,true,cli,synthetic-happy-dom,F005-1000,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",1517.2082500000001,97.69770900000003,1,,1,1,1001,,,,660,660,0,0,,,,,,,raw/C-reading-scaling/C-reading-1000__run-2.templar-perf.json
C-reading-1000-run-3,3,true,cli,synthetic-happy-dom,F005-1000,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",1415.9967080000001,80.33433299999979,1,,1,1,1001,,,,622,622,0,0,,,,,,,raw/C-reading-scaling/C-reading-1000__run-3.templar-perf.json
C-reading-100-run-1,1,true,cli,synthetic-happy-dom,F005-100,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",93.43454100000008,8.127583999999842,1,,1,1,101,,,,64,64,0,0,,,,,,,raw/C-reading-scaling/C-reading-100__run-1.templar-perf.json
C-reading-100-run-2,2,true,cli,synthetic-happy-dom,F005-100,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",103.10054100000002,8.458415999999943,1,,1,1,101,,,,69,69,0,0,,,,,,,raw/C-reading-scaling/C-reading-100__run-2.templar-perf.json
C-reading-100-run-3,3,true,cli,synthetic-happy-dom,F005-100,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",99.22033299999998,14.35462500000017,1,,1,1,101,,,,62,62,0,0,,,,,,,raw/C-reading-scaling/C-reading-100__run-3.templar-perf.json
C-reading-500-run-1,1,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",591.7805410000003,43.112750000000005,1,,1,1,501,,,,345,345,0,0,,,,,,,raw/C-reading-scaling/C-reading-500__run-1.templar-perf.json
C-reading-500-run-2,2,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",558.041416,45.30170799999996,1,,1,1,501,,,,309,309,0,0,,,,,,,raw/C-reading-scaling/C-reading-500__run-2.templar-perf.json
C-reading-500-run-3,3,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",590.3183750000001,40.81729199999995,1,,1,1,501,,,,345,345,0,0,,,,,,,raw/C-reading-scaling/C-reading-500__run-3.templar-perf.json
E-paged-vs-pageless-F002-paged-grid-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",159.423542,66.55620799999997,1,,1,1,1,,,,88,88,0,0,,,,,,,raw/E-paged-vs-pageless/E-paged-vs-pageless-F002-paged-grid__run-1.templar-perf.json
E-paged-vs-pageless-F002-paged-grid-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",153.4318750000001,62.14066700000001,1,,1,1,1,,,,86,86,0,0,,,,,,,raw/E-paged-vs-pageless/E-paged-vs-pageless-F002-paged-grid__run-2.templar-perf.json
E-paged-vs-pageless-F002-paged-grid-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",162.20354199999997,66.37016700000004,1,,1,1,1,,,,91,91,0,0,,,,,,,raw/E-paged-vs-pageless/E-paged-vs-pageless-F002-paged-grid__run-3.templar-perf.json
L-multileaf-3-run-1,1,true,cli,synthetic-happy-dom,F002,S6,3,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",882.680875,283.49458400000003,1,,3,3,3,,,,588,588,0,0,,,,,,,raw/L-multileaf/L-multileaf-3__run-1.templar-perf.json
L-multileaf-3-run-2,2,true,cli,synthetic-happy-dom,F002,S6,3,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",1030.2294170000005,350.44479200000023,1,,3,3,3,,,,667,667,0,0,,,,,,,raw/L-multileaf/L-multileaf-3__run-2.templar-perf.json
L-multileaf-3-run-3,3,true,cli,synthetic-happy-dom,F002,S6,3,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",961.4782909999999,293.38237500000014,1,,3,3,3,,,,656,656,0,0,,,,,,,raw/L-multileaf/L-multileaf-3__run-3.templar-perf.json
ablation-no-ImageSnap-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":false}",205.83829200000037,52.48716599999989,1,,1,1,1,,,,147,147,0,0,,,,,,,raw/ablation/ablation-no-ImageSnap__run-1.templar-perf.json
ablation-no-ImageSnap-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":false}",187.3247079999992,78.95383299999958,1,,1,1,1,,,,103,103,0,0,,,,,,,raw/ablation/ablation-no-ImageSnap__run-2.templar-perf.json
ablation-no-ImageSnap-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":false}",184.97500000000036,68.56437499999993,1,,1,1,1,,,,112,112,0,0,,,,,,,raw/ablation/ablation-no-ImageSnap__run-3.templar-perf.json
ablation-no-PageLayout-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":false,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",77.29545899999994,48.9912919999997,1,,1,,1,,,,2,2,0,0,,,,,,,raw/ablation/ablation-no-PageLayout__run-1.templar-perf.json
ablation-no-PageLayout-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":false,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",80.46166600000015,52.35558300000048,1,,1,,1,,,,2,2,0,0,,,,,,,raw/ablation/ablation-no-PageLayout__run-2.templar-perf.json
ablation-no-PageLayout-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":false,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",81.37179199999991,53.51758299999983,1,,1,,1,,,,2,2,0,0,,,,,,,raw/ablation/ablation-no-PageLayout__run-3.templar-perf.json
ablation-no-PaperOrigin-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":false,""variableRhythm"":true,""imageSnap"":true}",131.51800000000003,48.27716599999985,1,,1,1,1,,,,79,79,0,0,,,,,,,raw/ablation/ablation-no-PaperOrigin__run-1.templar-perf.json
ablation-no-PaperOrigin-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":false,""variableRhythm"":true,""imageSnap"":true}",215.5029170000007,83.27250000000004,1,,1,1,1,,,,127,127,0,0,,,,,,,raw/ablation/ablation-no-PaperOrigin__run-2.templar-perf.json
ablation-no-PaperOrigin-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":false,""variableRhythm"":true,""imageSnap"":true}",202.45516700000007,75.75308300000052,1,,1,1,1,,,,121,121,0,0,,,,,,,raw/ablation/ablation-no-PaperOrigin__run-3.templar-perf.json
ablation-no-ReadingWhitespace-run-1,1,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":false,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",241.05895799999962,32.475625000000036,1,,1,1,,,,,194,194,0,0,,,,,,,raw/ablation/ablation-no-ReadingWhitespace__run-1.templar-perf.json
ablation-no-ReadingWhitespace-run-2,2,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":false,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",347.9698749999998,41.94208400000025,1,,1,1,,,,,292,292,0,0,,,,,,,raw/ablation/ablation-no-ReadingWhitespace__run-2.templar-perf.json
ablation-no-ReadingWhitespace-run-3,3,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":false,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",337.34858299999996,34.06012499999997,1,,1,1,,,,,288,288,0,0,,,,,,,raw/ablation/ablation-no-ReadingWhitespace__run-3.templar-perf.json
ablation-no-VariableRhythm-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":false,""imageSnap"":true}",102.90279199999986,5.487333999999464,1,,1,1,1,,,,95,95,0,0,,,,,,,raw/ablation/ablation-no-VariableRhythm__run-1.templar-perf.json
ablation-no-VariableRhythm-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":false,""imageSnap"":true}",167.7572909999999,7.868499999999585,1,,1,1,1,,,,156,156,0,0,,,,,,,raw/ablation/ablation-no-VariableRhythm__run-2.templar-perf.json
ablation-no-VariableRhythm-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":false,""imageSnap"":true}",118.04474999999911,9.270833000000493,1,,1,1,1,,,,107,107,0,0,,,,,,,raw/ablation/ablation-no-VariableRhythm__run-3.templar-perf.json
