scenario_id,runs,valid_runs,platform,environment_id,fixture_id,style_profile,duration_p50_ms,duration_p95_ms,templar_p50_ms,refresh_leaf_p50,page_layout_p95_ms,pagination_p95_ms,reading_reconcile_p95_ms,frame_gap_p95_ms,frame_gap_max_ms,long_task_total_ms,all_cleanup_zero,notes
A-existing-F002-pageless-free,3,3,cli,synthetic-happy-dom,F002,S2,48.763417000000004,50.554529500000136,19.86562499999991,1,,,0.04501599999997552,2,2,0,true,
A-existing-F002-pageless-grid,3,3,cli,synthetic-happy-dom,F002,S3,106.17137500000001,107.8698244000001,75.35950000000003,1,,,0.003074999999944339,2.089999999999998,3,0,true,
C-reading-1000,3,3,cli,synthetic-happy-dom,F005-1000,S6,1517.2082500000001,1635.9643750000002,88.1935840000001,1,653.0620413999999,643.2645583000002,2.1743958000002293,656.2,660,0,true,
C-reading-100,3,3,cli,synthetic-happy-dom,F005-100,S6,99.22033299999998,102.71252020000001,8.458415999999943,1,67.01818750000002,64.12195410000007,0.4620755999999119,68.5,69,0,true,
C-reading-500,3,3,cli,synthetic-happy-dom,F005-500,S6,590.3183750000001,591.6343244000003,43.112750000000005,1,343.9610618999999,340.4042749999999,0.7474002999998675,345,345,0,true,
E-paged-vs-pageless-F002-paged-grid,3,3,cli,synthetic-happy-dom,F002,S6,159.423542,161.92554199999998,66.37016700000004,1,89.91167080000005,89.06923780000015,0.004779499999949621,90.7,91,0,true,
L-multileaf-3,3,3,cli,synthetic-happy-dom,F002,S6,961.4782909999999,1023.3543044000004,293.38237500000014,3,233.4191478899999,232.06179782000007,0.021641579999791244,665.9,667,0,true,
ablation-no-ImageSnap,3,3,cli,synthetic-happy-dom,F002,S6,187.3247079999992,203.98693360000024,68.56437499999993,1,140.3930875,140.12354160000058,0.0036368999996739147,143.5,147,0,true,
ablation-no-PageLayout,3,3,cli,synthetic-happy-dom,F002,S6,80.46166600000015,81.28077939999994,52.35558300000048,1,,,0.0025170000001708106,2,2,0,true,
ablation-no-PaperOrigin,3,3,cli,synthetic-happy-dom,F002,S6,202.45516700000007,214.19814200000064,75.75308300000052,1,126.68579969999955,125.18188719999989,0.0037788999998156214,126.4,127,0,true,
ablation-no-ReadingWhitespace,3,3,cli,synthetic-happy-dom,F005-500,S6,337.34858299999996,346.9077457999998,34.06012499999997,1,291.85496669999986,284.03095799999994,,291.6,292,0,true,
ablation-no-VariableRhythm,3,3,cli,synthetic-happy-dom,F002,S6,118.04474999999911,162.78603689999983,7.868499999999585,1,151.05520000000024,150.05812890000024,0.0037128000003576744,151.1,156,0,true,
